Iron_steel,Olefin,Methanol,Ammonia
13552.1,11919.53,740.87,1130.02
13728.21,12015.57,746.84,1139.13
13920.79,12118.65,753.25,1148.9
14094.54,12208.23,758.82,1157.39
14259.13,12286.38,763.68,1164.8
14414.99,12374.58,769.16,1173.16
14504.11,12412.0,771.48,1176.71
14642.7,12471.4,775.18,1182.34
14733.24,12524.08,778.45,1187.34
14805.39,12531.89,778.93,1188.08
14824.05,12568.14,781.19,1191.51
14873.13,12573.74,781.54,1192.04
14823.92,12604.63,783.46,1194.97
14848.0,12578.31,781.82,1192.48
14827.26,12582.72,782.09,1192.89
14857.68,12580.68,781.97,1192.7
14832.85,12594.04,782.8,1193.97
14832.13,12588.42,782.45,1193.44
14834.36,12605.39,783.5,1195.04
14833.8,12584.7,782.22,1193.08
14838.17,12603.11,783.36,1194.83
14867.47,12603.78,783.4,1194.89
14885.98,12606.7,783.58,1195.17
14899.9,12643.36,785.86,1198.64
14879.15,12644.03,785.91,1198.71
14910.48,12605.48,783.51,1195.05
14870.78,12618.38,784.31,1196.28
14863.06,12616.24,784.18,1196.07
14902.25,12606.56,783.58,1195.15
14837.64,12571.29,781.38,1191.81
14795.82,12558.59,780.59,1190.61
14773.45,12560.55,780.72,1190.79
14721.58,12525.32,778.53,1187.45
14670.65,12492.03,776.46,1184.3
14596.86,12475.71,775.44,1182.75
14501.0,12439.22,773.17,1179.29
14448.11,12399.09,770.68,1175.49
14340.28,12340.13,767.02,1169.9
14229.9,12282.35,763.42,1164.42
14178.39,12252.81,761.59,1161.62
14055.74,12213.41,759.14,1157.88
13992.07,12148.33,755.09,1151.71
13911.28,12123.74,753.57,1149.38
13860.51,12100.47,752.12,1147.18
13797.7,12040.11,748.37,1141.45
13753.43,12039.1,748.31,1141.36
13655.29,12008.5,746.4,1138.46
13645.05,11985.82,744.99,1136.31
13593.19,11978.89,744.56,1135.65
13603.12,11950.36,742.79,1132.94
13603.9,11960.02,743.39,1133.86
13590.33,11932.04,741.65,1131.21
13543.14,11958.49,743.29,1133.72
13539.77,11932.88,741.7,1131.29
13564.25,11926.87,741.33,1130.72
13525.76,11949.96,742.76,1132.91
13544.77,11920.46,740.93,1130.11
13531.1,11918.02,740.78,1129.88
13512.61,11915.24,740.61,1129.62
13447.36,11889.27,738.99,1127.15
13436.12,11873.72,738.03,1125.68
13379.14,11838.9,735.86,1122.38
13331.3,11791.59,732.92,1117.89
13249.45,11782.25,732.34,1117.01
13107.67,11725.01,728.78,1111.58
13009.35,11665.36,725.07,1105.93
12902.2,11607.19,721.46,1100.41
12660.55,11500.15,714.81,1090.26
12424.35,11376.69,707.13,1078.56
12327.98,11311.82,703.1,1072.41
12348.27,11340.81,704.9,1075.16
12351.25,11316.04,703.36,1072.81
12321.22,11323.56,703.83,1073.52
12327.78,11312.48,703.14,1072.47
12327.3,11314.91,703.29,1072.7
12360.42,11345.3,705.18,1075.58
12421.43,11361.66,706.2,1077.13
12444.64,11392.54,708.12,1080.06
12444.59,11378.82,707.26,1078.76
12439.72,11365.6,706.44,1077.51
12417.11,11361.88,706.21,1077.15
12399.91,11345.69,705.21,1075.62
12369.51,11328.64,704.15,1074.0
12346.15,11323.8,703.84,1073.54
12321.03,11299.4,702.33,1071.23
12321.87,11292.02,701.87,1070.53
12362.83,11329.0,704.17,1074.04
12344.63,11334.74,704.52,1074.58
12421.62,11357.31,705.93,1076.72
12485.38,11395.35,708.29,1080.33
12575.74,11439.19,711.02,1084.48
12659.64,11515.7,715.77,1091.74
12842.16,11566.46,718.93,1096.55
12994.54,11663.27,724.95,1105.73
13175.9,11742.64,729.88,1113.25
13321.2,11826.62,735.1,1121.21
13562.46,11924.98,741.21,1130.54
13706.28,12022.03,747.24,1139.74
13932.37,12114.66,753.0,1148.52
14104.86,12214.82,759.23,1158.02
14288.36,12290.36,763.92,1165.18
14361.66,12382.78,769.67,1173.94
14505.31,12438.46,773.13,1179.22
14647.77,12469.54,775.06,1182.17
