tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
374,0.9,1.8,11.88,33.84,60.0,20.7,87
375,0.9,1.8,11.88,33.84,60.0,20.7,87
376,0.9,1.8,11.88,33.84,60.0,20.7,87
377,0.9,1.8,11.88,33.84,60.0,20.7,87
378,0.9,1.8,11.88,33.84,60.0,20.7,87
379,0.9,1.8,11.88,33.84,60.0,20.7,87
380,0.9,1.8,11.88,33.84,60.0,20.7,87
381,0.9,1.8,11.88,33.84,60.0,20.7,87
382,0.9,1.8,11.88,33.84,60.0,20.7,87
383,0.9,1.8,11.88,33.84,60.0,20.7,87
384,0.9,1.8,11.88,33.84,60.0,20.7,87
385,0.9,1.8,11.88,33.84,60.0,20.7,87
386,0.9,1.8,11.88,33.84,60.0,20.7,87
387,0.9,1.8,11.88,33.84,60.0,20.7,87
388,0.9,1.8,11.88,33.84,60.0,20.7,87
389,0.9,1.8,11.88,33.84,60.0,20.7,87
390,0.9,1.8,11.88,33.84,60.0,20.7,87
391,0.9,1.8,11.88,33.84,60.0,20.7,87
392,0.9,1.8,11.88,33.84,60.0,20.7,87
393,0.9,1.8,11.88,33.84,60.0,20.7,87
394,0.9,1.8,11.88,33.84,60.0,20.7,87
395,0.9,1.8,11.88,33.84,60.0,20.7,87
396,0.9,1.8,11.88,33.84,60.0,20.7,87
397,0.9,1.8,11.88,33.84,60.0,20.7,87
398,0.9,1.8,11.88,33.84,60.0,20.7,87
399,0.9,1.8,11.88,33.84,60.0,20.7,87
400,0.9,1.8,11.88,33.84,60.0,20.7,87
401,0.9,1.8,11.88,33.84,60.0,20.7,87
402,0.9,1.8,11.88,33.84,60.0,20.7,87
403,0.9,1.8,11.88,33.84,60.0,20.7,87
404,0.9,1.8,11.88,33.84,60.0,20.7,87
405,0.9,1.8,11.88,33.84,60.0,20.7,87
406,0.9,1.8,11.88,33.84,60.0,20.7,87
407,0.9,1.8,11.88,33.84,60.0,20.7,87
408,0.9,1.8,11.88,33.84,60.0,20.7,87
409,0.9,1.8,11.88,33.84,60.0,20.7,87
410,0.9,1.8,11.88,33.84,60.0,20.7,87
411,0.9,1.8,11.88,33.84,60.0,20.7,87
412,0.9,1.8,11.88,33.84,60.0,20.7,87
413,0.9,1.8,11.88,33.84,60.0,20.7,87
414,0.9,1.8,11.88,33.84,60.0,20.7,87
415,0.9,1.8,11.88,33.84,60.0,20.7,87
416,0.9,1.8,11.88,33.84,60.0,20.7,87
417,0.9,1.8,11.88,33.84,60.0,20.7,87
418,0.9,1.8,11.88,33.84,60.0,20.7,87
419,0.9,1.8,11.88,33.84,60.0,20.7,87
420,0.9,1.8,11.88,33.84,60.0,20.7,87
421,0.9,1.8,11.88,33.84,60.0,20.7,87
422,0.9,1.8,11.88,33.84,60.0,20.7,87
423,0.9,1.8,11.88,33.84,60.0,20.7,87
424,0.9,1.8,11.88,33.84,60.0,20.7,87
425,0.9,1.8,11.88,33.84,60.0,20.7,87
426,0.9,1.8,11.88,33.84,60.0,20.7,87
427,0.9,1.8,11.88,33.84,60.0,20.7,87
428,0.9,1.8,11.88,33.84,60.0,20.7,87
429,0.9,1.8,11.88,33.84,60.0,20.7,87
430,0.9,1.8,11.88,33.84,60.0,20.7,87
431,0.9,1.8,11.88,33.84,60.0,20.7,87
432,0.9,1.8,11.88,33.84,60.0,20.7,87
433,0.9,1.8,11.88,33.84,60.0,20.7,87
434,0.9,1.8,11.88,33.84,60.0,20.7,87
435,0.9,1.8,11.88,33.84,60.0,20.7,87
436,0.9,1.8,11.88,33.84,60.0,20.7,87
437,0.9,1.8,11.88,33.84,60.0,20.7,87
438,0.9,1.8,11.88,33.84,60.0,20.7,87
439,0.9,1.8,11.88,33.84,60.0,20.7,87
440,0.9,1.8,11.88,33.84,60.0,20.7,87
441,0.9,1.8,11.88,33.84,60.0,20.7,87
442,0.9,1.8,11.88,33.84,60.0,20.7,87
443,0.9,1.8,11.88,33.84,60.0,20.7,87
444,0.9,1.8,11.88,33.84,60.0,20.7,87
445,0.9,1.8,11.88,33.84,60.0,20.7,87
446,0.9,1.8,11.88,33.84,60.0,20.7,87
447,0.9,1.8,11.88,33.84,60.0,20.7,87
448,0.9,1.8,11.88,33.84,60.0,20.7,87
449,0.9,1.8,11.88,33.84,60.0,20.7,87
450,0.9,1.8,11.88,33.84,60.0,20.7,87
451,0.9,1.8,11.88,33.84,60.0,20.7,87
452,0.9,1.8,11.88,33.84,60.0,20.7,87
453,0.9,1.8,11.88,33.84,60.0,20.7,87
454,0.9,1.8,11.88,33.84,60.0,20.7,87
455,0.9,1.8,11.88,33.84,60.0,20.7,87
456,0.9,1.8,11.88,33.84,60.0,20.7,87
457,0.9,1.8,11.88,33.84,60.0,20.7,87
458,0.9,1.8,11.88,33.84,60.0,20.7,87
459,0.9,1.8,11.88,33.84,60.0,20.7,87
460,0.9,1.8,11.88,33.84,60.0,20.7,87
461,0.9,1.8,11.88,33.84,60.0,20.7,87
462,0.9,1.8,11.88,33.84,60.0,20.7,87
463,0.9,1.8,11.88,33.84,60.0,20.7,87
464,0.9,1.8,11.88,33.84,60.0,20.7,87
465,0.9,1.8,11.88,33.84,60.0,20.7,87
466,0.9,1.8,11.88,33.84,60.0,20.7,87
467,0.9,1.8,11.88,33.84,60.0,20.7,87
468,0.9,1.8,11.88,33.84,60.0,20.7,87
469,0.9,1.8,11.88,33.84,60.0,20.7,87
470,0.9,1.8,11.88,33.84,60.0,20.7,87
471,0.9,1.8,11.88,33.84,60.0,20.7,87
472,0.9,1.8,11.88,33.84,60.0,20.7,87
473,0.9,1.8,11.88,33.84,60.0,20.7,87
474,0.9,1.8,11.88,33.84,60.0,20.7,87
475,0.9,1.8,11.88,33.84,60.0,20.7,87
476,0.9,1.8,11.88,33.84,60.0,20.7,87
477,0.9,1.8,11.88,33.84,60.0,20.7,87
478,0.9,1.8,11.88,33.84,60.0,20.7,87
479,0.9,1.8,11.88,33.84,60.0,20.7,87
480,0.9,1.8,11.88,33.84,60.0,20.7,87
481,0.9,1.8,11.88,33.84,60.0,20.7,87
482,0.9,1.8,11.88,33.84,60.0,20.7,87
483,0.9,1.8,11.88,33.84,60.0,20.7,87
484,0.9,1.8,11.88,33.84,60.0,20.7,87
485,0.9,1.8,11.88,33.84,60.0,20.7,87
486,0.9,1.8,11.88,33.84,60.0,20.7,87
487,0.9,1.8,11.88,33.84,60.0,20.7,87
488,0.9,1.8,11.88,33.84,60.0,20.7,87
489,0.9,1.8,11.88,33.84,60.0,20.7,87
490,0.9,1.8,11.88,33.84,60.0,20.7,87
491,0.9,1.8,11.88,33.84,60.0,20.7,87
492,0.9,1.8,11.88,33.84,60.0,20.7,87
