tick,Elec_x,Iron_steel
1300,299.7,2.522.409.396
1301,298.5,2.607.599.297
1302,297.1,2.613.956.072
1303,295.1,2.293.975.605
1304,296.3,2.181.832.066
1305,296.7,2.020.793.762
1306,295.5,1.902.589.641
1307,294.2,1.575.090.408
1308,293.9,1.313.414.556
1309,291.2,1.101.727.107
1310,290.5,7.978.550.274
1311,289.7,4.037.805.356
1312,289.2,8.329.881.718
1313,290,0
1314,291.7,0
1315,297.4,0
1316,301.6,0
1317,306.2,0
1318,307.6,0
1319,307.4,0
1320,305.7,0
1321,306.4,0
1322,306.5,0
1323,307,0
1324,305.4,0
1325,301.2,0
1326,297.5,0
1327,295.5,0
1328,290.7,0
1329,284.8,0
1330,279.3,0
1331,275.3,0
1332,273.3,0
1333,269.5,0
1334,264.8,0
1335,263,0
1336,261.2,0
1337,258.6,0
1338,254.2,0
1339,248.9,0
1340,243.8,0
1341,239.2,0
1342,235.3,0
1343,231.2,0
1344,227.9,0
1345,224.9,0
1346,221.7,0
1347,219.4,0
1348,216.6,0
1349,215.2,0
1350,213.7,0
1351,212.6,0
1352,210,0
1353,209.8,0
1354,210.5,0
1355,210.2,0
1356,210.7,0
1357,210.5,0
1358,212,0
1359,212.5,0
1360,214.4,0
1361,215.1,0
1362,218.1,0
1363,220.4,0
1364,225.4,0
1365,227.4,0
1366,232.9,0
1367,237.8,0
1368,249.5,0
1369,258.2,0
1370,266.5,0
1371,274.9,0
1372,283.7,0
1373,289,0
1374,294.7,5.338.324.088
1375,298.3,6.310.751.199
1376,301.7,1.081.039.108
1377,303,153.647.129
1378,304.2,1.755.495.231
1379,304,2.095.092.843
1380,302.8,2.196.732.894
1381,303.3,2.242.847.994
1382,303.6,2.232.048.311
1383,303.4,2.232.048.311
1384,303.5,2.365.517.805
1385,304.3,2.244.830.214
1386,305.8,2.281.079.781
1387,306.5,2.253.191.993
1388,307.4,2.296.983.111
1389,307.3,2.398.577.593
1390,308.3,2.403.931.866
1391,308.3,2.373.013.788
1392,306.6,2.512.931.194
1393,305.3,2.572.466.152
1394,304.3,2.652.073.939
1395,304.7,2.565.334.716
1396,304.1,2.683.880.599
1397,301,2.614.115.561
1398,299.6,2.418.035.249
1399,297.7,2.316.440.767
1400,298.8,2.155.744.225
1401,298,2.121.180.684
1402,295.2,1.906.098.399
1403,294,1.676.502.617
1404,292.9,1.296.782.133
1405,291.9,1.019.111.814
1406,290.5,7.200.927.563
1407,290.1,369.604.325
1408,290.7,1.167.231.511
1409,291.6,0
1410,293.1,0
1411,294.3,0
1412,298.3,0
1413,301.3,0
1414,302,0
1415,301.6,0
1416,299.5,0
1417,298.3,0
1418,299.1,0
1419,297.1,0
1420,294.1,0
1421,291,0
1422,287.7,0
1423,285.1,0
1424,278.8,0
1425,273.2,0
1426,269.1,0
1427,263.8,0
1428,261.9,0
1429,258.4,0
1430,255.5,0
1431,252.8,0
1432,253.4,0
1433,250.3,0
1434,245.9,0
1435,243.5,0
1436,237.4,0
1437,233.2,0
1438,229.2,0
1439,226.2,0
1440,221.8,0
1441,218.4,0
1442,215.6,0
1443,212.3,0
1444,209,0
1445,207.4,0
1446,206.8,0
1447,205.1,0
1448,203.3,0
1449,202.3,0
1450,202.3,0
1451,201.9,0
1452,199.5,0
1453,199.4,0
1454,199.7,0
1455,198.3,0
1456,198.6,0
1457,197.6,0
