Iron_steel,Olefin,Methanol,Ammonia
4461.78,3784.83,235.25,358.82
4462.29,3781.81,235.06,358.53
4461.94,3785.06,235.27,358.84
4474.82,3788.69,235.49,359.18
4466.91,3782.08,235.08,358.56
4468.28,3782.61,235.11,358.61
4469.15,3785.91,235.32,358.92
4463.63,3779.24,234.9,358.29
4458.26,3780.21,234.96,358.38
4434.94,3771.56,234.43,357.56
4439.03,3772.13,234.46,357.61
4417.43,3763.01,233.89,356.75
4391.63,3752.49,233.24,355.75
4381.78,3737.65,232.32,354.35
4342.67,3725.12,231.54,353.16
4333.47,3711.24,230.68,351.84
4302.3,3694.38,229.63,350.24
4277.45,3683.9,228.98,349.25
4258.99,3670.77,228.16,348.0
4229.2,3658.9,227.42,346.88
4201.92,3652.2,227.01,346.24
4180.41,3638.7,226.17,344.96
4152.14,3620.95,225.06,343.28
4131.78,3605.88,224.13,341.85
4126.35,3604.3,224.03,341.7
4098.99,3603.98,224.01,341.67
4092.72,3591.27,223.22,340.47
4089.91,3590.33,223.16,340.38
4077.81,3589.28,223.1,340.28
4080.56,3585.58,222.87,339.93
4065.04,3578.24,222.41,339.23
4072.85,3578.22,222.41,339.23
4071.45,3584.4,222.79,339.82
4056.16,3587.85,223.01,340.14
4071.22,3576.43,222.3,339.06
4057.49,3577.85,222.39,339.19
4059.21,3577.71,222.38,339.18
4037.98,3575.95,222.27,339.02
4033.24,3564.42,221.55,337.92
4024.87,3560.62,221.31,337.56
4010.51,3555.41,220.99,337.07
3982.78,3541.08,220.1,335.71
3968.73,3527.84,219.28,334.45
3931.25,3521.74,218.9,333.88
3907.84,3495.19,217.25,331.36
3863.08,3480.54,216.34,329.97
3803.56,3444.96,214.13,326.6
3723.44,3412.77,212.13,323.55
3699.43,3395.3,211.04,321.89
3704.52,3398.17,211.22,322.16
3699.06,3399.63,211.31,322.3
3693.04,3394.86,211.01,321.85
3696.76,3396.3,211.1,321.98
3697.4,3400.29,211.35,322.36
3703.16,3405.21,211.66,322.83
3726.37,3401.54,211.43,322.48
3733.33,3415.11,212.27,323.77
3740.67,3414.86,212.25,323.74
3727.63,3413.35,212.16,323.6
3729.25,3409.82,211.94,323.27
3716.55,3405.5,211.67,322.86
3702.3,3397.37,211.17,322.08
3704.49,3399.3,211.29,322.27
3706.17,3392.89,210.89,321.66
3704.47,3399.31,211.29,322.27
3692.49,3391.88,210.83,321.56
3714.41,3398.14,211.22,322.16
3719.63,3409.38,211.91,323.22
3750.88,3420.47,212.6,324.28
3778.54,3437.72,213.68,325.91
3817.01,3452.53,214.6,327.31
3851.68,3475.98,216.05,329.54
3902.77,3498.75,217.47,331.7
3950.08,3528.78,219.34,334.54
4016.96,3547.66,220.51,336.33
4065.63,3575.86,222.26,339.01
4118.46,3604.67,224.05,341.74
4176.24,3635.59,225.97,344.67
4228.36,3662.47,227.65,347.22
4277.74,3685.92,229.1,349.44
4324.5,3712.37,230.75,351.95
4351.23,3723.6,231.44,353.01
4392.81,3741.42,232.55,354.7
4419.97,3757.22,233.53,356.2
4441.62,3759.57,233.68,356.42
4447.21,3770.44,234.36,357.45
4461.94,3772.12,234.46,357.61
4447.18,3781.39,235.04,358.49
4454.4,3773.49,234.55,357.74
4448.18,3774.82,234.63,357.87
4457.3,3774.21,234.59,357.81
4449.86,3778.21,234.84,358.19
4449.64,3776.53,234.73,358.03
4450.31,3781.62,235.05,358.51
4450.14,3775.41,234.67,357.92
4451.45,3780.93,235.01,358.45
4460.24,3781.13,235.02,358.47
4465.79,3782.01,235.08,358.55
4469.97,3793.01,235.76,359.59
4463.74,3793.21,235.77,359.61
4473.14,3781.65,235.05,358.52
4461.23,3785.51,235.29,358.88
4458.92,3784.87,235.25,358.82
4470.67,3781.97,235.07,358.55
4451.29,3771.39,234.42,357.54
4438.75,3767.58,234.18,357.18
4432.03,3768.16,234.21,357.24
4416.47,3757.6,233.56,356.24
4401.19,3747.61,232.94,355.29
4379.06,3742.71,232.63,354.82
4350.3,3731.77,231.95,353.79
4334.43,3719.73,231.2,352.65
4302.08,3702.04,230.1,350.97
4268.97,3684.71,229.03,349.33
4253.52,3675.84,228.48,348.49
4216.72,3664.02,227.74,347.37
4197.62,3644.5,226.53,345.51
4173.38,3637.12,226.07,344.81
4158.15,3630.14,225.64,344.15
4139.31,3612.03,224.51,342.44
4126.03,3611.73,224.49,342.41
4096.59,3602.55,223.92,341.54
4093.52,3595.75,223.5,340.89
4077.96,3593.67,223.37,340.69
4080.93,3585.11,222.84,339.88
4081.17,3588.01,223.02,340.16
4077.1,3579.61,222.5,339.36
4062.94,3587.55,222.99,340.11
4061.93,3579.86,222.51,339.39
4069.27,3578.06,222.4,339.22
4057.73,3584.99,222.83,339.87
4063.43,3576.14,222.28,339.03
4059.33,3575.41,222.23,338.96
4053.78,3574.57,222.18,338.88
4034.21,3566.78,221.7,338.15
4030.84,3562.12,221.41,337.7
4013.74,3551.67,220.76,336.71
3999.39,3537.48,219.88,335.37
3974.84,3534.68,219.7,335.1
3932.3,3517.5,218.63,333.47
3902.81,3499.61,217.52,331.78
3870.66,3482.16,216.44,330.12
3798.17,3450.04,214.44,327.08
3727.3,3413.01,212.14,323.57
3698.39,3393.54,210.93,321.72
3704.48,3402.24,211.47,322.55
3705.37,3394.81,211.01,321.84
3696.37,3397.07,211.15,322.06
3698.33,3393.75,210.94,321.74
3698.19,3394.47,210.99,321.81
3708.13,3403.59,211.55,322.67
3726.43,3408.5,211.86,323.14
3733.39,3417.76,212.44,324.02
3733.38,3413.65,212.18,323.63
3731.91,3409.68,211.93,323.25
3725.13,3408.56,211.86,323.15
3719.97,3403.71,211.56,322.69
3710.85,3398.59,211.24,322.2
3703.84,3397.14,211.15,322.06
3696.31,3389.82,210.7,321.37
3696.56,3387.61,210.56,321.16
3708.85,3398.7,211.25,322.21
3703.39,3400.42,211.36,322.37
3726.49,3407.19,211.78,323.02
3745.61,3418.61,212.49,324.1
3772.72,3431.76,213.31,325.35
3797.89,3454.71,214.73,327.52
3852.65,3469.94,215.68,328.96
3898.36,3498.98,217.48,331.72
3952.77,3522.79,218.96,333.98
3996.36,3547.99,220.53,336.36
4068.74,3577.49,222.36,339.16
4111.88,3606.61,224.17,341.92
4179.71,3634.4,225.9,344.56
4231.46,3664.45,227.77,347.4
4286.51,3687.11,229.18,349.55
4308.5,3714.83,230.9,352.18
4351.59,3731.54,231.94,353.77
4394.33,3740.86,232.52,354.65
4406.63,3754.38,233.36,355.93
4435.62,3763.41,233.92,356.79
4445.52,3766.99,234.14,357.13
4461.62,3774.37,234.6,357.83
4451.4,3776.41,234.73,358.02
4447.24,3773.75,234.56,357.77
4448.13,3773.35,234.54,357.73
4447.3,3770.4,234.35,357.45
4449.82,3772.62,234.49,357.66
4443.85,3773.97,234.58,357.79
4451.3,3773.95,234.57,357.79
4459.61,3775.37,234.66,357.92
4446.42,3777.97,234.82,358.17
4464.23,3779.86,234.94,358.35
4466.34,3784.08,235.2,358.75
4473.39,3787.88,235.44,359.11
4459.33,3785.99,235.32,358.93
4469.54,3784.04,235.2,358.74
4466.8,3787.14,235.39,359.04
4468.01,3779.54,234.92,358.32
4454.61,3785.75,235.31,358.91
4452.59,3775.42,234.67,357.93
4451.86,3782.28,235.09,358.58
4446.79,3763.2,233.91,356.77
4415.84,3755.2,233.41,356.01
4404.08,3748.63,233.0,355.39
4373.94,3736.13,232.22,354.2
4361.93,3728.8,231.77,353.51
4333.69,3717.27,231.05,352.41
4301.99,3702.14,230.11,350.98
4267.83,3688.33,229.25,349.67
4247.11,3680.37,228.76,348.92
4227.84,3659.04,227.43,346.89
4191.63,3648.23,226.76,345.87
4177.76,3639.43,226.21,345.03
4140.76,3629.04,225.57,344.05
4135.74,3616.7,224.8,342.88
4121.84,3611.46,224.47,342.38
4115.97,3603.35,223.97,341.61
4090.75,3598.01,223.64,341.11
4077.76,3590.18,223.15,340.36
4080.1,3583.9,222.76,339.77
4079.2,3589.44,223.11,340.29
4062.27,3582.33,222.66,339.62
4061.5,3584.32,222.79,339.81
4059.45,3579.04,222.46,339.31
4067.75,3576.52,222.3,339.07
4056.9,3577.93,222.39,339.2
4060.21,3585.33,222.85,339.9
4060.54,3576.01,222.27,339.02
4048.46,3573.09,222.09,338.74
4046.55,3566.0,221.65,338.07
4032.4,3558.22,221.17,337.33
